date,code,open,high,low,close,volume,amount
2020-01-02,600132,52.27,52.82,51.31,51.71,31820,164901216
2020-01-03,600132,51.82,51.9,51,51.4,20695,106172392
2020-01-06,600132,50.91,51.44,50.19,50.55,31500,159788048
2020-01-07,600132,50.85,50.95,50.51,50.82,21691,110085720
2020-01-08,600132,50.93,51.37,50.3,51.33,28876,147286560
2020-01-09,600132,51.07,52.38,51.07,52.37,34506,178943936
2020-01-10,600132,52.38,53.19,51.7,52.35,29737,156023568
2020-01-13,600132,52.35,52.98,52,52.93,18040,94932960
2020-01-14,600132,52.9,52.9,50.7,50.86,50576,260386000
2020-01-15,600132,50.86,51.49,50.27,50.86,27980,142587808
2020-01-16,600132,51.13,51.49,50.9,51.24,16206,83009568
2020-01-17,600132,51.24,51.69,50.27,50.73,26019,132231392
2020-01-20,600132,49.87,51.79,49.87,51.52,25109,128878656
2020-01-21,600132,51.68,51.68,48.2,49.22,51063,251351696
2020-01-22,600132,49.08,49.59,47.68,49.3,35721,174657488
2020-01-23,600132,49.59,49.7,46.85,47.91,42787,205687360
2020-02-03,600132,43.12,44,43.12,43.2,41255,178008192
2020-02-04,600132,43.22,46.48,43.12,45.35,39978,179633728
2020-02-05,600132,45.68,46.46,44.92,45.57,34650,158232352
2020-02-06,600132,45.7,47.89,45.02,47.49,33833,157440352
2020-02-07,600132,47.38,50.23,46.7,49.91,38660,188974336
2020-02-10,600132,49.8,50.1,48.5,49.6,30013,147840192
2020-02-11,600132,49.74,50.47,49.01,49.6,21570,107391440
2020-02-12,600132,49.61,50,48.68,49.38,22856,112458160
2020-02-13,600132,49.5,49.54,48.38,49.4,19383,94906544
2020-02-14,600132,49.35,49.69,48.31,49.15,26316,128670952
2020-02-17,600132,49,49.49,48.5,48.96,27128,132562864
2020-02-18,600132,48.88,48.88,48.14,48.5,29570,143372928
2020-02-19,600132,48.5,50.68,48,49.87,45443,225353712
2020-02-20,600132,49.99,50.66,49.5,50.22,42255,212035936
2020-02-21,600132,50.05,50.05,48.16,48.39,57570,279617632
2020-02-24,600132,48.3,48.3,46.77,47.7,42905,203146384
2020-02-25,600132,46.78,48.23,46.78,47.28,38689,183223872
2020-02-26,600132,47.38,47.38,46.13,46.56,26579,124211624
2020-02-27,600132,46.7,47.81,46.61,47,21649,101961088
2020-02-28,600132,46.22,46.9,45.27,45.56,40033,184433312
2020-03-02,600132,45.55,46.6,45.52,46,27397,126220608
2020-03-03,600132,46.4,47.45,46.3,47.2,35483,166713616
2020-03-04,600132,46.97,47.97,46.81,47.39,26248,124149264
2020-03-05,600132,47.39,50.15,47.37,49.6,61221,302081568
2020-03-06,600132,49.49,49.99,48.8,49.08,27402,135067840
2020-03-09,600132,48.23,48.98,47.4,47.94,29493,141949440
2020-03-10,600132,47.01,50.57,47.01,50.46,53867,266090464
2020-03-11,600132,50.46,50.78,49.28,50.17,41278,207037600
2020-03-12,600132,49.52,50.6,48.59,50.28,31430,156818272
2020-03-13,600132,48.1,50.59,48.1,50.28,44965,223064256
2020-03-16,600132,50.18,50.9,48.58,48.6,43742,218431504
2020-03-17,600132,48.7,49.83,46.57,48.86,38245,186181072
2020-03-18,600132,48.87,48.99,46.41,46.7,28394,135178720
2020-03-19,600132,46.59,47.08,42.6,43.89,46729,206502960
2020-03-20,600132,44.3,44.76,41.7,43.07,44456,190650176
2020-03-23,600132,42.18,42.37,40.83,40.97,29903,124041280
2020-03-24,600132,41.4,45,41.4,43.3,61051,261812192
2020-03-25,600132,43.58,45.28,43.3,44.61,35513,157924736
2020-03-26,600132,44.85,46.2,44.18,45.56,36267,164797360
2020-03-27,600132,46,47.2,45.3,45.4,33503,154467712
2020-03-30,600132,46.35,49.3,46.35,47.48,184882,890976256
2020-03-31,600132,48.08,48.08,44.91,45.51,112114,517005152
2020-04-01,600132,45.29,46.75,44.01,45.76,44694,203183648
2020-04-02,600132,45.27,46.94,44.99,46.87,36233,167161184
2020-04-03,600132,47.2,48,46.39,47.12,36208,171313488
2020-04-07,600132,47.8,48.11,46.98,47.41,39943,189880400
2020-04-08,600132,47,47.39,46.28,47,42195,196793456
2020-04-09,600132,47.38,50.85,47.11,49.71,67770,332686880
2020-04-10,600132,50.29,52.68,49.36,51.88,52411,270998976
2020-04-13,600132,52.24,52.68,50.9,51.99,31302,162445888
2020-04-14,600132,51.9,52.75,51.23,52.13,29869,155630768
2020-04-15,600132,52.78,52.78,51,51.83,30350,157118640
2020-04-16,600132,51.77,52.48,50.7,52.22,29505,153002656
2020-04-17,600132,52.11,52.8,51,51.3,36573,189577504
2020-04-20,600132,51.63,51.8,50.37,51.47,38898,198642192
2020-04-21,600132,51.8,51.8,50,50.57,31725,160677792
2020-04-22,600132,50.98,51.28,49.7,50.9,30645,154551248
2020-04-23,600132,51.19,52.22,50.3,51.17,31774,162541520
2020-04-24,600132,50.97,52.79,50.38,51.85,40687,210969728
2020-04-27,600132,51.85,52.55,51.41,52.15,25422,132323184
2020-04-28,600132,51.83,54.96,51.7,54.08,47214,252456224
2020-04-29,600132,54.41,54.41,52.51,53.45,21047,112207648
2020-04-30,600132,53.51,54.79,53.5,54.44,25699,139437280
2020-05-06,600132,54.2,55.4,53.79,55.08,38122,208377216
2020-05-07,600132,55.08,55.95,54.52,55.75,33419,185095680
2020-05-08,600132,55.54,57,55.02,56.47,22477,126167088
2020-05-11,600132,56.47,57.49,55.6,56.03,21242,119602304
2020-05-12,600132,56.45,56.9,55.77,56.39,19117,107591544
2020-05-13,600132,56.99,59.09,56.55,58.53,30179,175296240
2020-05-14,600132,58.26,59.28,57.51,58.35,21123,123101544
2020-05-15,600132,57.84,58.9,56.16,56.54,28087,160147632
2020-05-18,600132,56.54,58.52,55.5,57.95,26915,154830960
2020-05-19,600132,57.99,57.99,56.7,57.87,15577,89584912
2020-05-20,600132,57.55,58.43,56.5,56.78,18972,108656200
2020-05-21,600132,56.87,57.89,56.46,57.2,20982,120173040
2020-05-22,600132,57.7,59.5,56.85,58.25,37840,220541760
2020-05-25,600132,58.85,60.88,56.6,59.56,41283,244058608
2020-05-26,600132,58.82,62,58.39,61.32,35398,215725712
2020-05-27,600132,61.72,62.28,60.76,61.46,27666,169977328
2020-05-28,600132,61.63,62.9,60.85,62.3,22670,140153664
2020-05-29,600132,60.87,61.7,60.52,61.7,18939,115905624
2020-06-01,600132,61.7,63.52,60,61.08,31756,193811888
2020-06-02,600132,61.05,61.05,59,59.32,33891,202276064
2020-06-03,600132,60.33,60.43,58.3,60,19929,119281712
2020-06-04,600132,60.36,64.2,60.1,63.9,36716,230032928
2020-06-05,600132,63.6,63.96,60.4,60.83,53882,330354336
2020-06-08,600132,60.31,60.5,58.01,58.6,48585,285352512
2020-06-09,600132,58.6,59.4,57.94,59.01,23255,136926704
2020-06-10,600132,58.74,59.33,58.54,59.26,14950,88297536
2020-06-11,600132,59.27,59.45,58.1,58.42,22917,133993488
2020-06-12,600132,57.66,58.99,57.6,58.5,19627,114432840
2020-06-15,600132,58.32,59,57.7,58.2,24056,140052096
2020-06-16,600132,58.61,60.85,58.29,60.25,24537,146951360
2020-06-17,600132,60.16,60.16,58.1,58.9,23027,135483520
2020-06-18,600132,58.8,58.8,57.67,58,22798,132138232
2020-06-19,600132,58.6,61.4,58.03,61.4,52667,317917344
2020-06-22,600132,64,67.54,62.6,67.54,76477,500186400
2020-06-23,600132,69.41,71.28,67.69,70.33,61155,424352928
2020-06-24,600132,69.25,69.82,67.12,67.56,50746,344890144
2020-06-29,600132,67.6,69.9,67.2,69.06,33248,228651424
2020-06-30,600132,70,74.82,69.21,73,27809,202299472
2020-07-01,600132,73.78,76.23,71.56,72.9,36090,265042848
